               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.025149,           0.0091268,           0.0081705,             0.94934,             0.92237,             0.95624,             0.75639,            0.018114,           0.0038295,           0.0054609,            0.001486,            0.001486,            0.001486
                  88,            0.024823,            0.009043,            0.008159,             0.92938,             0.93251,             0.96227,             0.76424,            0.018092,           0.0037424,            0.005289,            0.001387,            0.001387,            0.001387
                  89,            0.024168,           0.0089993,           0.0075447,             0.92763,             0.93281,             0.96115,             0.75409,            0.018132,           0.0037669,           0.0052483,            0.001288,            0.001288,            0.001288
                  90,            0.024017,           0.0090401,           0.0077734,             0.92569,             0.92487,             0.95764,             0.75172,            0.018122,           0.0038382,           0.0056653,            0.001189,            0.001189,            0.001189
                  91,            0.024232,           0.0088658,           0.0072161,             0.93302,             0.93117,              0.9585,             0.75379,            0.018007,           0.0037849,           0.0058124,             0.00109,             0.00109,             0.00109
                  92,             0.02419,           0.0090006,           0.0076913,             0.93705,             0.92277,             0.95976,             0.75241,            0.017805,           0.0038135,           0.0055185,            0.000991,            0.000991,            0.000991
                  93,            0.023621,           0.0088205,            0.007644,             0.93267,             0.93205,              0.9619,             0.75294,            0.017883,           0.0037824,           0.0054913,            0.000892,            0.000892,            0.000892
                  94,            0.023472,           0.0089477,           0.0073717,              0.9382,             0.92229,             0.95494,             0.75301,            0.017955,           0.0037998,           0.0057995,            0.000793,            0.000793,            0.000793
                  95,            0.023425,           0.0088401,           0.0071784,             0.94437,             0.92405,             0.96063,             0.75507,            0.017814,           0.0037512,           0.0052384,            0.000694,            0.000694,            0.000694
                  96,             0.02337,           0.0087819,           0.0068951,             0.92123,             0.93282,              0.9585,             0.75285,            0.017876,           0.0037477,           0.0054845,            0.000595,            0.000595,            0.000595
                  97,            0.023156,           0.0086627,           0.0068623,             0.94282,             0.91773,             0.96103,             0.76209,            0.017808,           0.0037502,           0.0054894,            0.000496,            0.000496,            0.000496
                  98,            0.023028,           0.0088027,           0.0067228,             0.91353,             0.93635,             0.95929,             0.75707,            0.017695,           0.0037531,            0.005746,            0.000397,            0.000397,            0.000397
                  99,            0.022816,            0.008534,           0.0065652,             0.92842,             0.93087,             0.95965,             0.76179,            0.017839,           0.0037691,           0.0055437,            0.000298,            0.000298,            0.000298
